article_id	level	children	key	title	local_path	status
8225f5f9-eb7c-418a-9aac-4ff9a845ee92	1	74	[1]b	[1]b မဂ္ဂါမဂ္ဂဉာဏဒဿနဝိသုဒ္ဓိ နိဒ္ဒေသ - သမ္မ	vol_5/chinese/[1]b 道非道智见清净释 - 思惟智章/[1]b 道非道智见清净释 - 思惟.md	matched
9826ed28-ea01-476f-b103-6c18a2bcf747	2	0	[1]c	NGP-Vol5-[1]c ကလာပသမ္မသန ခေါ် နယဝိပဿနာ	vol_5/chinese/[1]b 道非道智见清净释 - 思惟智章/[1]c 聚思惟即理观.md	matched
aca2bf6d-d947-48a5-8b61-1304b2b62ec4	2	0	[6]	NGP-Vol5-[6] ထင်ရှားရာ လွယ်ကူရာက စပါ	vol_5/chinese/[1]b 道非道智见清净释 - 思惟智章/[6]从明显易行处入手.md	matched
9fa334d0-2fb1-4975-aac3-d816da134f4f	2	0	[7]a	NGP-Vol5-[7]a သတိပြု၍ မှတ်သားပါ	vol_5/chinese/[1]b 道非道智见清净释 - 思惟智章/[7]a 应注意并记住.md	matched
2624cfed-017e-4699-914f-ad34e3c4d778	2	0	[7]b	NGP-Vol5-[7]b အကြောင်း ဥပါယ်တံမျဉ်	vol_5/chinese/[1]b 道非道智见清净释 - 思惟智章/[7]b 原因与方便.md	matched
12b430d5-69fd-47d0-8e0e-ebdf2cb67286	2	0	[9]a	NGP-Vol5-[9]a ရုပ်နာမ် နှစ်ပါးနည်းအားဖြင့် ရှုနည်း	vol_5/chinese/[1]b 道非道智见清净释 - 思惟智章/[9]a 依名色二法的观照法.md	matched
d52e5400-2517-49c2-bed5-dbdcc19ae9c2	2	0	[9]b	NGP-Vol5-[9]b လက္ခဏာရေး သုံးတန်	vol_5/chinese/[1]b 道非道智见清净释 - 思惟智章/[9]b 三种相.md	matched
b642a164-29c8-4a9c-99ba-6270301b47c8	2	0	[13]	NGP-Vol5-[13] အနိစ္စလက္ခဏာက စ၍ ရှုပုံ	vol_5/chinese/[1]b 道非道智见清净释 - 思惟智章/[13]从无常相开始的观法.md	matched
8b02e4ed-9dd0-476f-af29-089543c26b6c	2	0	[14]	NGP-Vol5-[14] သတိပြုရန် အချက်တစ်ရပ်	vol_5/chinese/[1]b 道非道智见清净释 - 思惟智章/[14]应当注意的一点.md	matched
111f0ee2-07ba-4cfb-a410-41384fff672d	2	0	[15]a	NGP-Vol5-[15]a ဒုက္ခလက္ခဏာ	vol_5/chinese/[1]b 道非道智见清净释 - 思惟智章/[15]a 苦相.md	matched
2290be7f-afb7-436b-aaba-1bf88dd24afb	2	0	[15]b	NGP-Vol5-[15]b အနတ္တလက္ခဏာ	vol_5/chinese/[1]b 道非道智见清净释 - 思惟智章/[15]b 无我相.md	matched
ff908fb6-3a9b-4be9-8de8-7ef0db3efbb5	2	0	[17]	NGP-Vol5-[17] နာမ်တရားများကို ဝိပဿနာ ရှုပုံ	vol_5/chinese/[1]b 道非道智见清净释 - 思惟智章/[17]观照名法的方法.md	matched
b441010f-cdef-49fa-bbca-d9a8cf0bf6ef	2	0	[18]	NGP-Vol5-[18] ရံခါ အဇ္ဈတ္တ， ရံခါ ဗဟိဒ္ဓ	vol_5/chinese/[1]b 道非道智见清净释 - 思惟智章/[18]时而内在，时而外.md	matched
6b092329-bf25-4f1b-9bba-ff44310ca680	2	0	[19]	NGP-Vol5-[19] ရံခါ အဇ္ဈတ္တ ရံခါ ဗဟိဒ္ဓ， ရံခါ ရုပ်တ	vol_5/chinese/[1]b 道非道智见清净释 - 思惟智章/[19]有时观内、有时观外，有时观色、有时观名.md	matched
37450577-144c-4528-87a7-1268939ad7f2	2	0	[21]	NGP-Vol5-[21] သတိပဋ္ဌာန်လေးပါးသို့ ဝင်သွားပုံ	vol_5/chinese/[1]b 道非道智见清净释 - 思惟智章/[21]趣入四念处的方式.md	matched
6f9bf0be-595e-4237-938f-ceed09436b02	2	0	[22]a	NGP-Vol5-[22]a အထူးသတိပြုရန်အချက်	vol_5/chinese/[1]b 道非道智见清净释 - 思惟智章/[22]a 应特别注意的要点.md	matched
dde37087-af9a-404c-8d2b-37ef2b5c0bd6	2	0	[22]b	NGP-Vol5-[22]b ဓမ္မာနုပဿနာ သတိပဋ္ဌာန်	vol_5/chinese/[1]b 道非道智见清净释 - 思惟智章/[22]b 法随观念处.md	matched
1f0ed6e0-dab4-425b-b285-b6296e87117b	2	0	[22]c	NGP-Vol5-[22]c အတိတ် အနာဂတ် ပစ္စုပ္ပန် ကာလသုံးပါး၌ ဝိပဿနာရှုပုံ	vol_5/chinese/[1]b 道非道智见清净释 - 思惟智章/[22]c 于过去未来现在三时中观照的方法.md	matched
e02c39a0-4358-45c6-95ce-351a1e2c9724	2	0	[25]	NGP-Vol5-[25] ခန္ဓာ (၅) ပါး ရှုနည်း	vol_5/chinese/[1]b 道非道智见清净释 - 思惟智章/[25]五蕴的观法.md	matched
48f4ec6b-fb9b-4532-93c8-16fd4148ca54	2	0	[29]	NGP-Vol5-[29] ဩဠာရိကရုပ် - သုခုမရုပ်	vol_5/chinese/[1]b 道非道智见清净释 - 思惟智章/[29]粗色 - 细色.md	matched
