# source	target_reldir	key	page	english_ref	subset
vol_4/markdown/[00A]လက္ခဏ - ရသ - ပစ္စုပဋ္ဌာန် - ပဒဋ္ဌာန်တို့ကို ရှုသင့်ပုံ/[000A]နိဒါနကထာ.md	[00A]特相 - 作用 - 现起 - 足处 应如何观察	[000A]	0	vol_4/English-First-Edition-markdown/vol 4, Introduction A-I.md	glossary/subsets/vol 4, Introduction A-I.tsv
vol_4/markdown/[00A]လက္ခဏ - ရသ - ပစ္စုပဋ္ဌာန် - ပဒဋ္ဌာန်တို့ကို ရှုသင့်ပုံ/[000A]လက္ခဏာဒိစတုက္ကပိုင်း.md	[00A]特相 - 作用 - 现起 - 足处 应如何观察	[000A]	0	vol_4/English-First-Edition-markdown/vol 4, Introduction A-I.md	glossary/subsets/vol 4, Introduction A-I.tsv
vol_4/markdown/[00A]လက္ခဏ - ရသ - ပစ္စုပဋ္ဌာန် - ပဒဋ္ဌာန်တို့ကို ရှုသင့်ပုံ/[001a]လက္ခဏ - ရသ - ပစ္စုပဋ္ဌာန် - ပဒဋ္ဌာန်တို့ကို ရှုသင့်ပုံ.md	[00A]特相 - 作用 - 现起 - 足处 应如何观察	[001a]	1	vol_4/English-First-Edition-markdown/vol 4, Page 1-33.md	glossary/subsets/vol 4, Page 1-33.tsv
vol_4/markdown/[00A]လက္ခဏ - ရသ - ပစ္စုပဋ္ဌာန် - ပဒဋ္ဌာန်တို့ကို ရှုသင့်ပုံ/[001b]ဓမ္မာနုပဿနာ သတိပဋ္ဌာန်ကျင့်စဉ်.md	[00A]特相 - 作用 - 现起 - 足处 应如何观察	[001b]	1	vol_4/English-First-Edition-markdown/vol 4, Page 1-33.md	glossary/subsets/vol 4, Page 1-33.tsv
vol_4/markdown/[00A]လက္ခဏ - ရသ - ပစ္စုပဋ္ဌာန် - ပဒဋ္ဌာန်တို့ကို ရှုသင့်ပုံ/[004]မနှိုင်းယှဉ်သင့်ပါ.md	[00A]特相 - 作用 - 现起 - 足处 应如何观察	[004]	4	vol_4/English-First-Edition-markdown/vol 4, Page 1-33.md	glossary/subsets/vol 4, Page 1-33.tsv
vol_4/markdown/[00A]လက္ခဏ - ရသ - ပစ္စုပဋ္ဌာန် - ပဒဋ္ဌာန်တို့ကို ရှုသင့်ပုံ/[008]လက္ခဏ - ရသ - ပစ္စုပဋ္ဌာန် - ပဒဋ္ဌာန် အဓိပ္ပါယ.md	[00A]特相 - 作用 - 现起 - 足处 应如何观察	[008]	8	vol_4/English-First-Edition-markdown/vol 4, Page 1-33.md	glossary/subsets/vol 4, Page 1-33.tsv
vol_4/markdown/[00A]လက္ခဏ - ရသ - ပစ္စုပဋ္ဌာန် - ပဒဋ္ဌာန်တို့ကို ရှုသင့်ပုံ/[010a]ကြိုတင်သိမှတ်ရန်.md	[00A]特相 - 作用 - 现起 - 足处 应如何观察	[010a]	10	vol_4/English-First-Edition-markdown/vol 4, Page 1-33.md	glossary/subsets/vol 4, Page 1-33.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[010a1]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း.md	[010]色（28）法 = 色蕴论章	[010a1]	10	vol_4/English-First-Edition-markdown/vol 4, Page 1-33.md	glossary/subsets/vol 4, Page 1-33.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[010b]၁။ ပထဝီဓာတ်.md	[010]色（28）法 = 色蕴论章	[010b]	10	vol_4/English-First-Edition-markdown/vol 4, Page 1-33.md	glossary/subsets/vol 4, Page 1-33.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[011]ရှုပုံနည်းစနစ်.md	[010]色（28）法 = 色蕴论章	[011]	11	vol_4/English-First-Edition-markdown/vol 4, Page 1-33.md	glossary/subsets/vol 4, Page 1-33.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[013]၂။ အာပေါဓာတ်.md	[010]色（28）法 = 色蕴论章	[013]	13	vol_4/English-First-Edition-markdown/vol 4, Page 1-33.md	glossary/subsets/vol 4, Page 1-33.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[016]၃။ တေဇောဓာတ်.md	[010]色（28）法 = 色蕴论章	[016]	16	vol_4/English-First-Edition-markdown/vol 4, Page 1-33.md	glossary/subsets/vol 4, Page 1-33.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[020]၄။ ဝါယောဓာတ်.md	[010]色（28）法 = 色蕴论章	[020]	20	vol_4/English-First-Edition-markdown/vol 4, Page 1-33.md	glossary/subsets/vol 4, Page 1-33.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[024].md	[010]色（28）法 = 色蕴论章	[024]	24	vol_4/English-First-Edition-markdown/vol 4, Page 1-33.md	glossary/subsets/vol 4, Page 1-33.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[025].md	[010]色（28）法 = 色蕴论章	[025]	25	vol_4/English-First-Edition-markdown/vol 4, Page 1-33.md	glossary/subsets/vol 4, Page 1-33.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[029] စက္ခုဝိညာဏ်သည် မည်သည့်စက္ခုအကြည်ဓာတ်ကို မှီ၍ .md	[010]色（28）法 = 色蕴论章	[029]	29	vol_4/English-First-Edition-markdown/vol 4, Page 1-33.md	glossary/subsets/vol 4, Page 1-33.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[031]လက်တွေ့စမ်းသပ်ကြည့်သင့်သည်.md	[010]色（28）法 = 色蕴论章	[031]	31	vol_4/English-First-Edition-markdown/vol 4, Page 1-33.md	glossary/subsets/vol 4, Page 1-33.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[033] ၆။ သောတပသာဒ.md	[010]色（28）法 = 色蕴论章	[033]	33	vol_4/English-First-Edition-markdown/vol 4, Page 1-33.md	glossary/subsets/vol 4, Page 1-33.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[034].md	[010]色（28）法 = 色蕴论章	[034]	34	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[035].md	[010]色（28）法 = 色蕴论章	[035]	35	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[035]ကာယပသာဒ.md	[010]色（28）法 = 色蕴论章	[035]	35	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[036].md	[010]色（28）法 = 色蕴论章	[036]	36	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[037].md	[010]色（28）法 = 色蕴论章	[037]	37	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[037]ဝိသယနှင့် ဂေါစရ.md	[010]色（28）法 = 色蕴论章	[037]	37	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[038].md	[010]色（28）法 = 色蕴论章	[038]	38	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[039].md	[010]色（28）法 = 色蕴论章	[039]	39	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[040].md	[010]色（28）法 = 色蕴论章	[040]	40	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[041a].md	[010]色（28）法 = 色蕴论章	[041a]	41	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[041b].md	[010]色（28）法 = 色蕴论章	[041b]	41	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[042].md	[010]色（28）法 = 色蕴论章	[042]	42	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[046].md	[010]色（28）法 = 色蕴论章	[046]	46	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[047a].md	[010]色（28）法 = 色蕴论章	[047a]	47	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[047b].md	[010]色（28）法 = 色蕴论章	[047b]	47	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[048].md	[010]色（28）法 = 色蕴论章	[048]	48	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[048b].md	[010]色（28）法 = 色蕴论章	[048b]	48	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
vol_4/markdown/[010]ရုပ် (၂၈) ပါး = ရူပက္ခန္ဓကထာ အခန်း/[049].md	[010]色（28）法 = 色蕴论章	[049]	49	vol_4/English-First-Edition-markdown/vol 4, Page 33-141.md	glossary/subsets/vol 4, Page 33-141.tsv
